Level,Date and Time,Source,Event ID,Task Category
Information,31-10-2023 17:32:11,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,31-10-2023 17:32:09,hcmon,0,None,Detected unrecognized USB driver (\Driver\USBPcap).
Information,31-10-2023 17:32:09,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,31-10-2023 17:32:09,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2023‎-‎10‎-‎31T11:21:42.231721600Z
Wake Time: ‎2023‎-‎10‎-‎31T12:02:08.179793900Z

Wake Source: Unknown"
Information,31-10-2023 17:32:08,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 19 to 21.

Reason InputAccelerometer 

BootId: 59"
Information,31-10-2023 17:32:08,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Input Keyboard."
Warning,31-10-2023 17:32:08,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Information,31-10-2023 17:32:08,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Sleep, Hibernate, or Shutdown."
Information,31-10-2023 17:32:08,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 18 to 19.

Reason SxTransition 

BootId: 59"
Information,31-10-2023 17:32:08,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,31-10-2023 17:32:08,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,31-10-2023 17:32:08,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,31-10-2023 17:32:07,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Warning,31-10-2023 17:32:07,TPM,30,None,Reset and/or resume count do not match expected values after hibernate/resume.
Warning,31-10-2023 17:32:07,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Warning,31-10-2023 17:32:07,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Information,31-10-2023 17:32:07,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2023‎-‎10‎-‎31T12:02:07.500000000Z from ‎2023‎-‎10‎-‎31T11:21:46.354776700Z.
Time Delta: 2421145 ms

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2023‎-‎10‎-‎31T17:32:07.500000000Z
Current time zone bias: -330
RTC time is in UTC: false
System time was based on RTC time: false"
Information,31-10-2023 16:51:46,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,31-10-2023 16:51:45,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 16:51:43,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Button or Lid"
Warning,31-10-2023 16:51:42,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Warning,31-10-2023 16:51:42,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Information,31-10-2023 16:51:42,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 17 to 18.

Reason PolicyChange 

BootId: 59"
Information,31-10-2023 16:51:32,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 16:51:32,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 16:51:31,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 16:51:31,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,31-10-2023 16:50:55,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Warning,31-10-2023 16:50:18,hcmon,0,None,Detected unrecognized USB driver (\Driver\USBPcap).
Warning,31-10-2023 16:50:15,hcmon,0,None,Detected unrecognized USB driver (\Driver\USBPcap).
Information,31-10-2023 16:50:14,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,31-10-2023 16:50:13,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 15 to 17.

Reason PolicyChange 

BootId: 59"
Information,31-10-2023 16:50:13,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Lid."
Information,31-10-2023 16:50:13,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2023‎-‎10‎-‎31T10:28:39.356662900Z
Wake Time: ‎2023‎-‎10‎-‎31T11:20:13.245371300Z

Wake Source: Unknown"
Information,31-10-2023 16:50:13,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Sleep, Hibernate, or Shutdown."
Information,31-10-2023 16:50:13,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 14 to 15.

Reason SxTransition 

BootId: 59"
Information,31-10-2023 16:50:13,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,31-10-2023 16:50:13,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,31-10-2023 16:50:13,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Error,31-10-2023 16:50:12,Microsoft-Windows-NDIS,10317,PnP,"Miniport Microsoft Wi-Fi Direct Virtual Adapter #2, {c73ec2a1-57fb-47b6-ad07-a450f4ec0f12}, had event Fatal error: The miniport has failed a power transition to operational power"
Information,31-10-2023 16:50:12,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Warning,31-10-2023 16:50:12,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Warning,31-10-2023 16:50:12,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Information,31-10-2023 16:50:12,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2023‎-‎10‎-‎31T11:20:12.500000000Z from ‎2023‎-‎10‎-‎31T10:28:43.245314900Z.
Time Delta: 3089254 ms

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2023‎-‎10‎-‎31T16:50:12.500000000Z
Current time zone bias: -330
RTC time is in UTC: false
System time was based on RTC time: false"
Information,31-10-2023 15:58:43,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,31-10-2023 15:58:40,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Button or Lid"
Warning,31-10-2023 15:58:40,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Warning,31-10-2023 15:58:40,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Information,31-10-2023 15:58:40,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,31-10-2023 15:58:39,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 12 to 14.

Reason SxTransition 

BootId: 59"
Information,31-10-2023 15:58:39,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Sleep, Hibernate, or Shutdown."
Information,31-10-2023 15:58:39,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Lid."
Information,31-10-2023 15:58:39,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 11 to 12.

Reason PolicyChange 

BootId: 59"
Information,31-10-2023 15:58:39,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Lid."
Information,31-10-2023 15:58:39,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:58:39,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:58:36,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:58:36,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:58:35,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:58:35,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:58:27,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:58:27,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:58:23,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:58:23,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:58:20,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:58:20,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:56:06,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:56:06,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:56:04,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:56:04,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:51:03,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:51:03,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:50:36,Netwtw08,7026,None,7026 - Dump after return from D3 after cmd
Information,31-10-2023 15:50:36,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 15:46:18,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 10 to 11.

Reason SessionUnlock 

BootId: 59"
Information,31-10-2023 15:46:10,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,31-10-2023 15:46:09,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\MicrosoftTeams_8wekyb3d8bbwe\S-1-5-21-3444099338-3253721846-659789935-1001\SystemAppData\Helium\Cache\dfc6ba0e7fe4b8bb_COM15.dat was cleared updating 1 keys and creating 1 modified pages.
